"root","ruid","session","maxdiam","rightcens","co2treat","ntreat","agedays","ageyears","sessdead"
4.1,"1-2-13-4.1-57",57,0.000239520958083832,FALSE,"AMBIENT",0,204,0.558521560574949,57
1,"1-2-14-1-104",104,0.000315789473684211,TRUE,"AMBIENT",0,997,2.7296372347707,NA
2,"1-2-14-2-104",104,0.000184210526315789,TRUE,"AMBIENT",0,329,0.900752908966461,NA
3,"1-2-14-3-104",104,0.000973684210526316,TRUE,"AMBIENT",0,166,0.454483230663929,NA
1,"1-2-15-1-104",104,0.00081578947368421,TRUE,"AMBIENT",0,166,0.454483230663929,NA
1.1,"1-2-15-1.1-11",11,0.000479041916167665,FALSE,"AMBIENT",0,262,0.717316906228611,11
2.1,"1-2-15-2.1-61",61,0.000269461077844311,TRUE,"AMBIENT",0,554,1.51676933607118,NA
3.1,"1-2-15-3.1-61",61,0.00029940119760479,TRUE,"AMBIENT",0,554,1.51676933607118,NA
1,"1-2-20-1-76",76,0.000210526315789474,FALSE,"AMBIENT",0,335,0.917180013689254,76
1,"1-2-21-1-76",76,0.000263157894736842,FALSE,"AMBIENT",0,179,0.490075290896646,76
1.1,"1-2-21-1.1-48",48,0.000269461077844311,FALSE,"AMBIENT",0,692,1.89459274469541,48
2,"1-2-21-2-81",81,0.000210526315789474,FALSE,"AMBIENT",0,211,0.577686516084873,81
1,"1-2-22-1-88",88,0.000157894736842105,FALSE,"AMBIENT",0,286,0.783025325119781,88
1,"1-2-23-1-76",76,0.000236842105263158,FALSE,"AMBIENT",0,994,2.72142368240931,76
1.1,"1-2-23-1.1-61",61,0.000329341317365269,TRUE,"AMBIENT",0,1546,4.23271731690623,NA
2.1,"1-2-23-2.1-46",46,0.000269461077844311,FALSE,"AMBIENT",0,923,2.52703627652293,46
3.1,"1-2-23-3.1-46",46,0.000269461077844311,FALSE,"AMBIENT",0,923,2.52703627652293,46
1.1,"1-2-25-1.1-21",21,0.000389221556886228,FALSE,"AMBIENT",0,322,0.881587953456537,21
1.1,"1-2-31-1.1-17",17,0.000329341317365269,FALSE,"AMBIENT",0,280,0.766598220396988,17
1,"1-3-1-1-69",69,0.000263157894736842,FALSE,"AMBIENT",0,320,0.876112251882272,69
1.1,"1-3-1-1.1-19",19,0.000269461077844311,FALSE,"AMBIENT",0,288,0.788501026694045,19
2,"1-3-1-2-67",67,0.000289473684210526,FALSE,"AMBIENT",0,146,0.399726214921287,67
